Date,Category,Amount,Description
2025-08-01,Groceries,1200,Monthly grocery shopping
2025-08-02,Transport,250,Bus fare to work
2025-08-03,Utilities,1800,Electricity bill
2025-08-04,Entertainment,500,Movie night
2025-08-05,Health,300,Pharmacy purchase
2025-08-06,Food,450,Lunch at restaurant
2025-08-07,Shopping,2200,Festival clothes
2025-08-08,Education,1500,Online course
2025-08-09,Travel,3500,Trip to Hampi
2025-08-10,Donations,1000,Temple contribution
2025-08-11,Groceries,980,Weekly vegetables
2025-08-12,Transport,300,Auto fare
2025-08-13,Utilities,1600,Water bill
2025-08-14,Entertainment,600,Concert ticket
2025-08-15,Health,700,Doctor visit
2025-08-16,Food,520,Dinner with friends
2025-08-17,Shopping,1800,New shoes
2025-08-18,Education,1200,Book purchase
2025-08-19,Travel,4000,Train tickets
2025-08-20,Donations,500,School charity
2025-08-21,Groceries,1100,Organic products
2025-08-22,Transport,200,Cycle repair
2025-08-23,Utilities,1900,Gas bill
2025-08-24,Entertainment,450,Streaming subscription
2025-08-25,Health,350,Lab tests
2025-08-26,Food,600,Takeout dinner
2025-08-27,Shopping,2500,Mobile accessories
2025-08-28,Education,1000,Tuition fee
2025-08-29,Travel,3000,Weekend getaway
2025-08-30,Donations,800,NGO support
2025-08-31,Groceries,950,Monthly staples
2025-09-01,Transport,280,Petrol refill
2025-09-02,Utilities,1700,Internet bill
2025-09-03,Entertainment,700,Game purchase
2025-09-04,Health,400,Eye checkup
2025-09-05,Food,480,Snacks and drinks
2025-09-06,Shopping,2100,Home decor
2025-09-07,Education,1300,Workshop fee
2025-09-08,Travel,3700,Bus and hotel
2025-09-09,Donations,600,Relief fund
2025-09-10,Groceries,1020,Weekly groceries
2025-09-11,Transport,260,Metro pass
2025-09-12,Utilities,1850,Phone bill
2025-09-13,Entertainment,550,Comedy show
2025-09-14,Health,320,Medicine refill
2025-09-15,Food,530,Lunch with colleagues
2025-09-16,Shopping,2400,Kitchen items
2025-09-17,Education,1400,Online seminar
2025-09-18,Travel,3900,Flight booking
2025-09-19,Donations,700,Community event
